Date,Observed,"10,1,0+t","10,1,0+None","8,1,2+t","10,1,1+t","8,1,2+None","10,1,1+None","9,1,2+t","4,1,8+t","9,1,2+None","9,1,1+t","4,1,8+None","9,1,1+None","4,1,6+t","9,1,0+t","9,1,0+None","9,1,3+t","10,1,2+t","9,1,3+None","2,1,5+t","2,1,5+None","10,1,2+None","4,1,5+t","0,1,10+t","4,1,5+None","0,1,10+None","4,1,9+None","2,1,6+None","1,1,10+t","2,1,9+t","6,1,2+None","2,1,9+None","10,1,3+None","1,1,10+None","2,2,6+None","2,1,8+t","2,1,8+None","3,1,9+t","3,1,8+t","3,1,9+None","2,1,10+t","1,1,9+t","1,1,9+None","3,1,8+None","0,1,9+None","0,1,9+t","2,2,8+None","3,1,10+t","8,1,1+t","6,1,1+t","6,1,1+None"
2023-05-01,305.559998,306.1587000254517,305.99752292495424,306.05662515168876,306.2273746052099,305.88448717471607,306.0536993688851,305.98006383989275,306.3207747306544,305.80963799080683,306.16194498068364,306.16668466718176,306.00534197429846,305.19322131603633,306.26842555320525,306.11287198366165,306.0039620770834,306.2313078820771,305.841265732916,305.67892209671425,305.54639301464033,306.06877532967474,306.1808189187543,306.12825109179477,306.0094222512593,305.96961627920086,305.75667248969626,305.7237304288023,306.1627223592759,306.21329133480765,305.68585422986365,306.0444137787116,306.06031226134354,305.9971520603399,305.7128729425558,306.30909465851244,306.12839639722466,306.2425589170069,306.2504279043164,306.0790160088017,306.15867410027505,306.30352365745483,306.14405289087733,306.07117051197537,306.404521918473,306.5620888954809,305.8530995065209,306.2128676436727,306.0979823772118,306.01250248871145,305.85151609618634
2023-05-02,305.410004,306.1231017082562,305.808159785911,306.0018026674387,306.1654024340461,305.6744161396758,305.83134646932734,305.8217727703102,306.7873987348565,305.49339641532043,306.17830057008064,306.4923762547427,305.8723963570017,306.09202368438895,306.27784490411346,305.97687162074993,305.81651345891856,306.16971375317087,305.4997085505842,306.0705528706407,305.79672222302224,305.8438650393761,306.9590282977933,306.26975452532116,306.648621008339,305.950326018514,305.772260274316,305.71325850859745,306.1699789032838,306.1786280119533,305.66851788650445,305.8626066812131,305.8528475252231,305.8639261186621,306.12492904005035,306.2237632900371,305.8805163544961,306.1770616170808,306.1975729676972,305.8630900717392,306.1659401554821,306.3985199408785,306.0927784024261,305.8583862701422,306.2237232364111,306.52521113567695,305.8858694200776,306.1787529626006,306.30398548585947,306.0917143138217,305.7850583973243
2023-05-03,304.399994,306.6876156098574,306.22278619834816,307.08826275399633,306.69046762504695,306.61320972377973,306.2028948262564,306.84914089320716,307.54240332538586,306.3712757312449,306.7167026151589,307.09455621455373,306.26920525597797,307.4346002055809,306.815876359587,306.3747710955972,306.7830852989787,306.6941032218626,306.31765204223433,306.8421344635707,306.39957166620485,306.2128680254373,308.4360962860938,306.6981818126035,307.94950079193205,306.2223991134335,306.7062893301814,305.9306776760178,306.50543751463397,306.8947405876376,305.8494658353203,306.4296224910528,306.2193978760062,306.05854360687186,306.89735147966604,307.01471279735154,306.5260285966784,306.8830554030752,307.02679509639506,306.42504664354783,306.4957764158894,306.64520915222135,306.2019343042589,306.546835642641,306.2871419504342,306.72844055733094,306.35872597171493,306.8967891263362,307.0489440848652,306.75439291804446,306.3173076192996
2023-05-04,305.410004,305.7814729733157,305.17171692666153,306.0574321609781,305.7753465784172,305.44915855535123,305.139919742417,305.76160213897106,305.83050801705275,305.1524229871422,305.7227293589493,305.23027024840235,305.1410284240617,306.2173585216291,305.7260711288887,305.15388477480707,305.62888675193864,305.7791699142989,305.0257504160614,306.0021375111219,305.3836962708455,305.1503270009998,307.5803585251865,305.8217388902689,306.8887918287635,305.2090917571223,305.37246544808266,304.7783169126484,305.71999258489126,305.85724471433116,304.758357905018,305.264311784681,305.15637478293564,305.1210167257149,306.05495647365154,306.23711398462314,305.6241122562891,305.78445976159884,306.14854903590833,305.1911041307187,305.7045297364267,305.7560363470801,305.18248349430144,305.54181451193085,305.2605232547527,305.83039507860815,305.5241100484546,305.8612194897897,306.22472772596655,305.5686314724662,304.9820475513077
2023-05-05,310.649994,305.4984930185953,304.75054861483767,305.81828322590417,305.58296560818184,305.0640542583508,304.793772602451,305.6251351279778,305.7028074514036,304.8788562105511,305.38678010470915,304.95489955340616,304.6746058182124,306.7420893482617,305.4235826662006,304.72115157687887,305.4772675442222,305.5875090477543,304.7395465116233,307.4547786764042,306.6639305579574,304.813925007036,307.7551932792744,305.43917530828134,306.8903520220014,304.6907224144873,304.859281831621,306.11881536634166,305.44911339842025,305.44840200767055,306.1081966141744,304.719656575744,304.83027872988964,304.69370748552825,307.5075627816188,306.0629558118563,305.3307883432709,305.3792403335473,305.75712224753977,304.6532959670585,305.43348726422175,305.34612201623224,304.6458591542941,305.0152804241462,304.7750105149234,305.47052597887637,307.08068284092315,305.4569794088225,306.3169904559389,306.31945288949623,305.5472747337147
2023-05-08,308.649994,309.30977292284814,309.1625607358013,308.5580547383391,309.36229608600087,308.36066682736595,309.2038062708822,309.19497941212177,308.9071161454563,309.0482948695883,309.1620246024908,308.7183617975442,309.0290305119109,308.8417397003863,309.02232412411007,308.8908060152018,309.31526152864694,309.3616558915276,309.1800398783397,309.23553337649497,309.0412311364241,309.2005814149975,309.54115121098073,309.6121369279039,309.3654647778749,309.4666829429283,309.0729738275226,308.9880246850246,309.6158187263125,309.5958979527268,309.042498337388,309.47010799184,309.2059716129492,309.4659271661824,309.2373550096822,308.80863132983893,308.6364757192674,309.6013652548095,309.0779643446177,309.47875918874075,309.6177933469929,309.32289819566813,309.2027093057196,308.907569728872,309.0877535489666,309.210970562636,309.19373129407916,309.5961456449635,308.6523619075057,309.91642750823087,309.71849843518675
2023-05-09,307.0,312.0257121987305,311.7506464520869,310.1178973694342,312.2510197110079,309.71735198763105,311.9406916797034,311.1707017579014,311.26990614621883,310.86336997430703,311.81503197391356,310.8852601063735,311.560262708602,310.43489255699865,311.5011811003501,311.2555963685932,311.62029142413076,312.2510330206036,311.3560956882376,310.2405840226035,309.87411520795536,311.94392173698003,311.1704846561416,312.0861217494604,310.83197358180826,311.8154415494827,311.4485923765029,309.85963255816006,312.1286561104478,311.6357740522215,309.91241694192604,311.4027379414076,311.9472586562313,311.8457559347486,310.25244049363897,309.8562370328931,309.4903337167368,311.7173407643728,310.36653061104164,311.4811025353417,312.130901795697,311.5531016580478,311.3255691699631,310.00496569212504,310.81778888435696,311.04060826092723,310.24694719498143,311.62683436030824,309.23828487207805,310.4317795144815,310.05099063340714
2023-05-10,312.309998,311.62450522966986,311.2314558889236,309.51141629382874,312.05960367921796,308.9281420749406,311.58249674342005,310.2503304970252,311.2826227947652,309.74667516209934,312.02611643656917,310.7117156052951,311.6227484453939,310.68841692337435,312.42634390354885,312.0326760519614,310.95228804226645,312.0621735751084,310.53437785369476,309.66198854049867,309.128736197949,311.605679220632,310.7348344463583,311.6515041714134,310.2184499875547,311.28466781416193,311.5507119073186,309.13882994462415,311.9643731315291,311.01666026325074,309.148963595859,310.61824309917233,311.63067660397724,311.5351563875144,309.67757189287,309.37353728519423,308.8266516498626,311.32966154813084,309.7467984894798,310.9517708257474,311.9652039684754,311.95635116436915,311.5879399508847,309.20180040584853,311.7864164791535,312.144061075277,309.7011599744262,310.99572907382276,308.9395873836163,310.1056492780303,309.54937101621687
2023-05-11,310.109985,311.5632973868363,311.0151215672586,309.8340958287182,311.41887807753403,309.07230941694564,310.81972838663125,310.56882423543175,310.76677614107894,309.8908156761459,312.41845728149156,310.0323213760436,311.84863740564134,311.3158633873476,312.9014724280304,312.3488479506244,311.25414162466063,311.40869291522415,310.67614239911495,310.23925997160507,309.5325782629329,310.7786817393273,311.06544294662854,311.3024145982055,310.3759144103707,310.80240382499574,310.9544700085444,309.37274163885905,311.2179733730386,311.1313504939945,309.4480221889633,310.55217808250075,310.7626111912322,310.6956156004032,310.25752655046017,309.6598868474277,308.941651479318,311.51268471773017,310.0018398920118,310.9758286198448,311.2485371768097,312.42357095644434,311.8950678712522,309.28731712610727,312.2203229072705,312.73213014371316,310.0811088254481,311.1071324961357,309.59913699263365,310.6234875937605,309.89799187568553
2023-05-12,308.970001,311.39310215617945,310.67350493804463,310.4279969450125,310.665595643836,309.48676878292594,309.96015446413185,311.1570270599379,310.4210612765547,310.3071148763018,312.2779668898693,309.5251629887591,311.545510001834,310.6623026194712,312.76857663294123,312.0557101399824,311.82325271168963,310.6533037479103,311.0806102878921,310.49150843986183,309.61106951145473,309.90459626334206,310.82571191654034,311.0020841320933,309.9552758432241,310.33988022895466,310.1506674917248,309.49777237769325,310.47332434011355,311.65174243982153,309.505824692685,310.9036810985076,309.81517098306085,309.8577428969757,310.5105858139851,310.1090750021505,309.215603905707,312.0156110838834,310.5381809817959,311.3171162693715,310.4967480524864,312.32127283143353,311.6321984785236,309.6536437544611,312.02694078103457,312.6991554079186,310.44913390888786,311.6266564380809,309.60355444855463,310.6170528501161,309.72144408398435
