Date,Log,"10,0,0+ct","10,1,0+t","9,1,0+t","9,1,0+None","10,1,0+None","10,0,2+ct","10,1,1+t","6,0,9+ct","10,1,1+None","7,0,9+ct","9,1,1+t","6,1,9+None","9,1,1+None","10,0,1+ct","6,0,10+ct","7,0,10+ct","10,1,3+None","10,0,9+ct","7,1,10+t","4,1,7+t","0,1,10+t","8,0,9+ct","9,0,9+ct","5,0,7+ct","6,0,8+ct","8,0,10+ct","10,0,5+ct","10,0,2+None","10,0,2+c","0,1,10+None"
2023-10-12,5.802601654349359,5.788621975181253,5.787072588684357,5.786427801779287,5.7833173581347594,5.783803806818496,5.788816100300671,5.787166312499689,5.788987587689336,5.7838986546258155,5.789054620609687,5.786415316810441,5.7840515178721175,5.783333144769519,5.787840841579149,5.788673669661089,5.788557195134379,5.784104409573918,5.788318405734142,5.787323313993867,5.787295654497695,5.7885942487378195,5.789416811457593,5.789301272786168,5.7884702392604845,5.787893373493836,5.789286328478518,5.788791293600862,5.78007566775837,5.78007566775837,5.785174612149891
2023-10-13,5.792190132225579,5.796053495480205,5.793873902858138,5.793595197188683,5.789742370712257,5.789855284061801,5.795994962590325,5.793656276632284,5.7961764233087525,5.789651273332379,5.796430431622419,5.7932774087469925,5.7900921405463155,5.789468696665687,5.796825098406537,5.795451027651709,5.796086081099411,5.79000385750863,5.796097847115732,5.79410162164068,5.792989450162151,5.792644488997389,5.796346638330585,5.796361426099653,5.794989854356135,5.794925777514743,5.796080191120299,5.796033481831486,5.785182262985163,5.785182262985163,5.788434963383592
2023-10-16,5.807060869203497,5.788830664404017,5.787517599535338,5.788220832847182,5.787291001109206,5.786590953326027,5.788064044784294,5.787846595807819,5.787096025951248,5.786924310293789,5.786803917524493,5.788599340229218,5.785604041257757,5.787676474419176,5.787024157000968,5.787290458161541,5.786493286780628,5.786429056408971,5.78679689436313,5.786705945076017,5.7877545836495425,5.788602010231873,5.787114541666064,5.787013696699516,5.788220097477021,5.78751778987099,5.786967628843853,5.786581275400597,5.7854081729979265,5.7854081729979265,5.787650807671602
2023-10-17,5.805315669456633,5.793837755518551,5.7932462518159,5.792762241822233,5.791109017623482,5.791495296187868,5.793986480426089,5.792960505888406,5.7927995842705124,5.791235298308277,5.792529268618914,5.792550572420576,5.790264772209121,5.790927339331078,5.794567405795997,5.79280284094349,5.792603835272469,5.791088689288515,5.791847172278196,5.7922745560264675,5.793640780604017,5.793106479036398,5.792648969524847,5.792733247539101,5.7942464357594785,5.792086676957772,5.7924174125198755,5.792982815412544,5.789351369274273,5.789351369274273,5.791333359028109
2023-10-18,5.799425886811246,5.7947044555133775,5.7926650841167096,5.793104929337996,5.790675141928739,5.790156753614357,5.794244936208262,5.792720035686428,5.7937863526491045,5.790234195747304,5.79357072108553,5.793160269772305,5.790194456411558,5.79076871175963,5.793550233606439,5.794053005744594,5.793400903429732,5.79031327846049,5.79320137787789,5.793093416963553,5.793810472081832,5.79334648038211,5.793390345450791,5.793658071513733,5.79431659692728,5.792103910099148,5.793812525074309,5.793266969907113,5.787600489944333,5.787600489944333,5.790774939764837
2023-10-19,5.803084696857674,5.798254738011131,5.7957310916497065,5.79626656697084,5.793052111423659,5.792407167412147,5.797380976758673,5.7957251538199746,5.796221659063244,5.792431742919317,5.795891248441411,5.796315222438741,5.791104750150176,5.793148164648072,5.797610571436682,5.796023941815069,5.795380704575052,5.791982910996578,5.7948913201235115,5.794673077075187,5.793804941540769,5.795599858167793,5.796029718229866,5.79606166572771,5.7952688020116465,5.7932192363116695,5.796161789925149,5.796820953529885,5.787854931222776,5.787854931222776,5.7922205092985966
2023-10-20,5.788950526821591,5.801392159433373,5.79744949080481,5.7990304271653255,5.795004405962091,5.7933353987421,5.79972026165303,5.797583034996226,5.800332974173329,5.793499116088487,5.800175443732204,5.799242534079583,5.794129914448449,5.7952673060147415,5.80001828063287,5.800139962949604,5.7994083712679085,5.792906501768175,5.7988391256329495,5.798402200444469,5.797731134006606,5.797188371793138,5.799725835111319,5.799860657080561,5.7991392977565415,5.798314330239986,5.800095035961776,5.8002762766251665,5.788251550463481,5.788251550463481,5.79300240649787
2023-10-23,5.797029943686146,5.792375435241493,5.791465853579367,5.791855093592945,5.79084031014747,5.7904335354420375,5.791801715987505,5.7915305569949584,5.788079521924429,5.790503847756493,5.787969163360687,5.792016726720645,5.786682151454423,5.791006498707351,5.7919384396174936,5.788271187125098,5.78793301038666,5.789949399777052,5.788279701685498,5.7879287555854955,5.789009175157593,5.790557342789139,5.788222455052066,5.788119134896853,5.790005345568291,5.7895926793114105,5.788025007462432,5.787332266309845,5.788963628061919,5.788963628061919,5.789494665472776
2023-10-24,5.800697423705054,5.794068783859648,5.792964563729798,5.793078484670215,5.791220410530393,5.791033881118751,5.7937293194372455,5.792936329454649,5.791121306921868,5.791013198496173,5.791231172323012,5.793164539082162,5.788729681675726,5.791316288432829,5.793836399465996,5.790956432248614,5.79133411677405,5.790631783991709,5.79138632087463,5.790742741797835,5.790180725816476,5.790925111177342,5.791808242110292,5.791732518314414,5.7912140867255735,5.790545578587299,5.791190643264234,5.792318841236636,5.78895889984048,5.78895889984048,5.78894450664734
2023-10-25,5.830914304943578,5.795888350350986,5.793781647309164,5.794466349145687,5.791729194606075,5.790965718256759,5.794994870630661,5.79383346106728,5.792709192995379,5.7910198385062515,5.7922531276977285,5.7946157197173545,5.788581920893484,5.791890092799299,5.7952074069721915,5.792935944570383,5.7924936702522265,5.790652225948054,5.793258173611782,5.791884064702735,5.791929680822987,5.79328349922755,5.792661790794308,5.792846380191956,5.792976057946432,5.792994980175141,5.792481725993687,5.791657883961826,5.788071564801516,5.788071564801516,5.790385660553928
2023-10-26,5.79267823202983,5.7956706227308565,5.79352585540833,5.79376532838067,5.790167306081848,5.789784619230579,5.794869059287177,5.793579326448284,5.792163463154529,5.789836903631444,5.79169341766319,5.7939566159010525,5.786808303423198,5.790368985095883,5.794805918424477,5.79221433218701,5.791356723924233,5.789157514435145,5.791565628297094,5.7909083197155455,5.792112808408903,5.791158383055186,5.791580176820403,5.791726284085944,5.793887493497078,5.792163422348094,5.791330331622246,5.794329532384136,5.785604070562162,5.785604070562162,5.7873112247433935
2023-10-27,5.798516725008629,5.798548181307361,5.796321896643373,5.796223829387548,5.791812490918395,5.791715611688527,5.798141212416739,5.796286229388412,5.798094108913194,5.791674526523208,5.797392722030755,5.796287287182867,5.791128819430974,5.791890024005449,5.798047035533949,5.798083242198648,5.797522629580069,5.791370958339494,5.796135973296905,5.796071167001019,5.794885690812237,5.796352056548587,5.797231276088116,5.797117288570054,5.796526880184596,5.797413557466257,5.796880966404885,5.797209951105511,5.787160311683429,5.787160311683429,5.791564475157223
2023-10-30,5.821002382897211,5.801364688569931,5.800364039447253,5.800774190956034,5.799760555012413,5.799332518553078,5.800712023494778,5.800334403806166,5.797183776096036,5.799303683411457,5.797868863340379,5.8007353020461005,5.796556845574819,5.799728594238521,5.801173522161516,5.796982790662059,5.797422962622303,5.799331399845965,5.798676048875613,5.7972030190930415,5.800346079475624,5.79813305784631,5.797890089312079,5.797851726364571,5.800952447776226,5.79909945002613,5.797154323155143,5.798065391463916,5.797960073024266,5.797960073024266,5.797060747052838
2023-10-31,5.823371241960397,5.799027693578684,5.797488732029334,5.797892783701384,5.79602719113789,5.795565627554889,5.798165031855229,5.797608634088656,5.7970019239897095,5.795688061684611,5.797597346963227,5.798041094832888,5.795369109768007,5.796186857547545,5.797971143499391,5.797259807701095,5.797740958720587,5.79529986900132,5.798774150851906,5.797093672630951,5.798773144949026,5.797222753320569,5.798996847019823,5.79881615033062,5.799385633049781,5.798881852158065,5.79852578953781,5.798331149530535,5.793204796273254,5.793204796273254,5.7952091199133395
2023-11-01,5.846641086961233,5.803928336288504,5.802594615477622,5.802535417865269,5.799830770101737,5.799773000604159,5.803534660034878,5.802430278306268,5.80040032568215,5.7996097706991,5.800519715969644,5.802387883279646,5.796853344600203,5.799698397510191,5.804155440391931,5.80025140707573,5.800869576072358,5.799593139785315,5.803947738579151,5.799849049436312,5.800071370708415,5.79951139771622,5.8013228279769535,5.8018585718938835,5.801820217959529,5.801231334406906,5.801036986525084,5.800817947676857,5.796776127020956,5.796776127020956,5.796552419417927
2023-11-02,5.8531216175827,5.798920423336333,5.7968468927273396,5.796939827372451,5.7933846238861335,5.79314366360198,5.7982367012345835,5.796977872580097,5.795649752860335,5.793266598704022,5.79594808066592,5.7970617594791225,5.79125261230932,5.793520015707786,5.79758797773192,5.795653309739812,5.795618744836193,5.793167063075428,5.796591771625476,5.794868125355694,5.797102494643097,5.796755966942726,5.7963262821432595,5.79658949179713,5.798503437578232,5.796815823894946,5.796251882005811,5.798174581538057,5.789353993997974,5.789353993997974,5.792893974672847
2023-11-03,5.86590129011903,5.8069155126081995,5.805164131960376,5.804589504595562,5.8002513663493245,5.800609222816129,5.80667774406188,5.804827913858342,5.8062490436021035,5.800271551197014,5.806303778334319,5.804228464464876,5.800330950422369,5.79991564043016,5.807602222847329,5.806113193089946,5.806571752506313,5.800405867743194,5.806352405449499,5.805141151169599,5.807233182222362,5.803406087156933,5.80669811840513,5.806907641398022,5.808733595555081,5.807109072769619,5.8064145647612815,5.806176706788603,5.795606849708091,5.795606849708091,5.798619945669318
2023-11-06,5.876418384981652,5.861843494535791,5.861314502890609,5.861586243950522,5.860794054397513,5.8605094738425185,5.861659694441228,5.861712127702507,5.859901269884224,5.860905229098569,5.860063762490947,5.8619468581077605,5.859069851182621,5.861161617381084,5.8599458362284675,5.859943519781862,5.859439681341743,5.860846966420435,5.861040345132071,5.859622451799302,5.858838599903776,5.861888447433419,5.860008306527089,5.8600001196512395,5.859043386761681,5.8590684354361136,5.860053309806051,5.861034333613214,5.85951584392325,5.85951584392325,5.861044155729182
2023-11-07,5.887575168242025,5.867560120502947,5.866630323077406,5.867361294721767,5.865874394799495,5.865123760605691,5.86695915217883,5.866750614042668,5.866117380710635,5.865259323560656,5.86673595356866,5.867455336839168,5.864762329347636,5.86599548250337,5.867342919923551,5.865608569976518,5.866490245550586,5.86521840098246,5.8669151719903745,5.865700706354679,5.862920847777509,5.866645654980056,5.867216553414924,5.866868812584712,5.863247671886494,5.865013337451386,5.866622908347131,5.866663879327621,5.862631906853831,5.862631906853831,5.86511467162353
2023-11-08,5.894953679766785,5.862964415274353,5.860890299548265,5.862549758920131,5.860313961304362,5.858652997364689,5.8613891537625324,5.861295615374982,5.8600487915935355,5.859078064430734,5.860351300744454,5.862980326967885,5.8578115760940905,5.860777867993815,5.860947713170529,5.860068153403286,5.859885190332004,5.858548662215105,5.862292215530993,5.859877709880795,5.860393332608716,5.8605342946578665,5.860520412673752,5.860709785569599,5.860769556155051,5.860944392209498,5.860480018331728,5.859999115278586,5.855155286426685,5.855155286426685,5.858280704452387
2023-11-09,5.888018869199855,5.86232849755548,5.861864826384571,5.861743259612885,5.858849090551053,5.858839957971753,5.862163025443846,5.861806725623497,5.8590192168762805,5.858822268166242,5.859110409686052,5.861764155076344,5.855964313907073,5.858924004021497,5.862145368283688,5.858941121216905,5.858879227707652,5.858428943450038,5.859732328466355,5.859037898985294,5.859117951566305,5.861429087131386,5.859594480951593,5.859551215748711,5.85955197385825,5.857990818728008,5.859326152715507,5.860984717060336,5.8542958909559255,5.8542958909559255,5.858372497593045
2023-11-10,5.9126107509406545,5.867884781013132,5.866790834876047,5.8672707355429665,5.863712019839984,5.86310723150646,5.867658178259524,5.866665321029371,5.86705280170336,5.863030151222647,5.867152534698729,5.867090640668735,5.863099244398425,5.863608328147304,5.867842410236276,5.8668107751260115,5.867205058264353,5.863572713373342,5.867149040776006,5.866918451818185,5.864652390997418,5.8661180543882265,5.867211036750191,5.86739176918708,5.864458370597135,5.863014187389856,5.867277674685517,5.867241861550385,5.858318982752915,5.858318982752915,5.862350065915966
2023-11-13,5.90448951400336,5.908001493606019,5.907109008049825,5.907995650551079,5.907274677195206,5.906409109975282,5.906782373749366,5.907334943437218,5.906220008770535,5.906653013513847,5.906089089516196,5.908255815194031,5.905399658049117,5.907556633178392,5.906855586882297,5.906207181944205,5.9052260845049975,5.905957160042629,5.906470830500919,5.905945669978985,5.906847099310873,5.907442012591858,5.905955033055918,5.905956118421548,5.906900196588729,5.9056682635009325,5.906127996525657,5.906508589063394,5.9038481138257035,5.9038481138257035,5.906791750912943
2023-11-14,5.914232439536667,5.911927369152555,5.911042692357487,5.91218838176357,5.910839898387767,5.909699245937933,5.9106685530850385,5.911103890732781,5.911807220815121,5.909800047629853,5.91203808891302,5.912343144404569,5.9107099071080365,5.911038030305463,5.911609710937443,5.911566132925235,5.911173361778202,5.9088680323236025,5.911456913331896,5.911720447242451,5.9107211603337,5.909911181029614,5.911760008118413,5.911594604044145,5.910677372416639,5.910592001062923,5.912142793613729,5.9125602547878415,5.906064292118621,5.906064292118621,5.908653175202032
2023-11-15,5.9126107509406545,5.912436866152021,5.910779021683355,5.912850051901438,5.910818585713548,5.9087714417730455,5.910467136295912,5.910998514083876,5.908581437312264,5.909040333320867,5.908553837622846,5.913197634989542,5.906618721436209,5.911222235939752,5.911202187458298,5.908333798780816,5.907557603300977,5.908008409073565,5.908308327897407,5.908557447561639,5.908131981777957,5.909804827777478,5.908222614606769,5.908216794960921,5.9081300399410965,5.907725705221606,5.908616988142486,5.906877190345731,5.904202434561809,5.904202434561809,5.90790386209461
2023-11-16,5.930041203429399,5.9135017933978276,5.911631779737427,5.914049070114394,5.91131686157577,5.908905411834164,5.91106943050224,5.911799221369102,5.9079507964087385,5.90914023840959,5.908657906399729,5.91441432839789,5.90643771798807,5.911756352260125,5.912383231030314,5.907707374691385,5.907301167870251,5.907715763683919,5.907813534328612,5.908924015379208,5.909766557611108,5.909373553842863,5.908500800298296,5.908332235459752,5.909240276157666,5.9066717510841205,5.908797803590146,5.909919716284216,5.9026022546988495,5.9026022546988495,5.906786920121878
2023-11-17,5.91309753425667,5.9166481030069455,5.914538610608706,5.917428162086253,5.913991421184802,5.911099162668423,5.913922801088037,5.9146845199686275,5.913641868037453,5.9113236355581185,5.913231855423085,5.917805929836234,5.910371337654111,5.914457645246981,5.915434363230534,5.913421002431011,5.912563132487455,5.909854297056476,5.913234545636224,5.914314201854133,5.912321278976742,5.911856250650411,5.913970741779179,5.913936617878838,5.911127014380894,5.909472772568531,5.914092335109277,5.9128043345084675,5.903864398072922,5.903864398072922,5.90853357432819
2023-11-20,5.93341162095822,5.914566623327244,5.914071629875352,5.914862901481171,5.913977535617349,5.913195939237559,5.913944418615132,5.914282375199521,5.911663057661951,5.9134155833478275,5.911422901922266,5.915118365783128,5.910937086615823,5.914244599784896,5.91369073886759,5.912125592347268,5.910671718200186,5.913071881097679,5.911545717247971,5.911637431789911,5.91245683029791,5.914658142452207,5.909768134786602,5.910271119066706,5.9120785989223315,5.911742937396775,5.910730317369798,5.913728392311035,5.911726965529938,5.911726965529938,5.913788581407399
2023-11-21,5.921766088360018,5.919032463705013,5.91849739755544,5.919566647826212,5.917915999035082,5.916832959468091,5.9180234821365945,5.918445073872794,5.918465854379012,5.916804287404763,5.918482078732982,5.919605802791638,5.917321490645562,5.917982211293562,5.919090746264773,5.918287842940076,5.917915220175556,5.916410721411278,5.915358451213659,5.918631184550721,5.919195193928386,5.917680941985757,5.917128379838567,5.916773308532785,5.918397444581133,5.918077052018793,5.916867068024942,5.919075920137387,5.913927974351771,5.913927974351771,5.916052571234273
2023-11-22,5.934497307346046,5.9149611820834,5.914186567699057,5.915562371588602,5.913126001660721,5.911718404734167,5.913601677917612,5.914429805558207,5.911982535704875,5.911986453743615,5.911821510379361,5.915938350847184,5.910370311611564,5.913533464336346,5.913329584626601,5.912694013128947,5.911136218627127,5.911233286159542,5.910331192149471,5.912583327265875,5.914261581396875,5.9147613367067695,5.910237220235596,5.910298329895144,5.913264947449483,5.912997329413297,5.911052515415734,5.91140814951913,5.907844079401189,5.907844079401189,5.91233989841094
