Date,Truncated,"2,1,2+None","2,1,2+t","3,1,2+None","2,1,3+None","0,1,0+None","3,1,0+None","0,1,3+None","2,1,0+None","3,1,2+t","2,1,3+t","4,1,0+None","0,1,2+None","0,1,0+t","0,1,4+None","3,1,0+t","3,1,3+None","3,1,1+None","1,2,2+None","0,1,3+t","2,1,4+None","0,1,1+None","1,1,0+None","1,1,3+None","2,1,5+None","4,2,2+None","1,1,2+None","1,1,1+None","2,1,0+t","4,1,0+t","0,1,2+t"
2023-05-01,305.559998,306.13043511760276,306.2792929360905,305.91621735557754,305.917850289853,307.26001,305.2363554816003,305.31119389386254,306.61818241952454,306.05462417486456,306.05468541465706,304.9994095985218,306.6529652380622,307.40829971867214,305.0572976353767,305.3734259858873,305.78084659503503,305.0619825493639,307.7213668291049,305.4488851150939,305.9151145192298,307.2689661071335,307.26794215882177,305.1432675911516,304.4520608174159,305.6107177868409,306.183775007883,306.70807032414245,306.76481918298515,305.137638433423,306.79597563664936
2023-05-02,305.410004,306.6706348507444,306.9835645442714,306.31281264549085,306.3111885346446,307.26001,304.42430932125524,304.48907677959096,306.44907255732846,306.60533286279224,306.6013867344286,305.06262985718405,306.4127827982455,307.55658943734426,305.0326573935356,304.7182251896072,306.29369255872143,304.6531019332264,307.563768227728,304.781060024538,306.3263122782811,307.2689661071335,307.26796805122837,304.7318345876901,304.4466056036357,304.56174111942585,305.5202496585877,306.2654965535272,306.7521966253189,305.3362534567263,306.70754893808606
2023-05-03,304.399994,307.7968526616104,308.2617724973191,307.50836415895867,307.5020339172691,307.26001,304.3997616766173,304.2617846834997,306.4926041198337,307.9563117976717,307.94804810425126,305.4605223987415,306.4127827982455,307.7048791560164,305.1531538259518,304.8495739363832,307.52985991192384,304.697037543585,308.0111975130353,304.706163501422,307.5370125544796,307.2689661071335,307.2679681357472,304.5495459879234,305.2882506924397,304.97719649781277,305.26538184406013,305.91061802059295,306.94446081286003,305.8770471534664,306.8552146688561
2023-05-04,305.410004,307.5917624575849,308.1933578274934,307.43314479840984,307.4268343918382,307.26001,304.5944543921582,304.2617846834997,306.5043689922549,308.0260261706197,308.01830605218396,305.71690313165516,306.4127827982455,307.8531688746885,305.29019657579084,305.19083073077,307.4535082197743,304.91434277391267,307.86721306217,304.8507782614089,307.459372785854,307.2689661071335,307.26796813602306,304.5999354458688,305.1507694360309,305.00211618564964,305.1674841481378,305.6260580635884,307.10360920166346,306.27401899898496,307.0028803996262
2023-05-05,310.649994,306.54922415066943,307.2940123387214,306.3729735600953,306.3700975824161,307.26001,304.6513669133359,304.2617846834997,306.5014174792819,307.1087644446017,307.10437489643266,305.58776250035515,306.4127827982455,308.0014585933606,305.29019657579084,305.39104561091176,306.32471257635996,304.8869708091653,308.3013345383728,304.9953930213958,306.3885399158101,307.2689661071335,307.26796813602397,304.5860064482503,303.90148166150055,305.5471752778477,305.12988050295155,305.3978831766464,307.2484086336152,306.29323761125795,307.1505461303962
2023-05-08,308.649994,310.5959405875235,310.74834650883315,310.45393596657124,310.45444102979997,310.649994,310.6407551109521,310.6621183935066,310.59815325338985,310.600747373427,310.60084206965485,310.6517585535971,310.5584258158806,310.7982837186721,310.6670093145048,310.799985901701,310.4734414772773,310.6616673942734,310.5238129565339,310.82159982507085,310.45492122406733,310.6695753842035,310.66709854300404,310.6655423240964,309.9152330522795,310.4938426860307,310.5655987339912,310.29369322875164,310.7500584372228,310.8060615451713,310.7101351340071
2023-05-09,307.0,311.0100193650701,311.31842075645056,310.84099269696037,310.8389665873239,310.649994,310.2084126066391,310.2604216879935,310.23795529716716,311.1409609558677,311.137980695989,310.19109388331276,310.22598072546583,310.9465734373442,310.2390668034692,310.52628390160794,310.90089879761985,310.20665535790806,310.9481589087653,310.5800339786572,310.84957770088363,310.6695753842035,310.66715437620053,310.25066126242626,310.0328748674685,310.56606747783906,310.1698944755921,310.00799284752884,310.5431671211542,310.5003183110619,310.5299544095389
2023-05-10,312.309998,311.1574262659503,311.6131336802899,310.9815631777819,310.9794072909347,310.649994,309.8514898146149,309.8814027659582,310.2403104521766,311.4281822963071,311.42489450466013,309.87772319195585,310.22598072546583,311.09486315601634,309.91311986849337,310.31904252337665,311.00704699652005,309.8543652976695,310.8343656536063,310.3534342512453,310.99067101140037,310.6695753842035,310.66715455845303,309.8864778042666,310.84139483708503,310.0613404295483,310.0178998613027,309.77890350948206,310.6935076589667,310.33231375927426,310.67762014030893
2023-05-11,310.109985,310.82778388552777,311.4255980457924,310.6782607473112,310.67529066978744,310.649994,309.88266001101294,309.8814027659582,310.2650664833023,311.2692161670689,311.265316309023,310.13668237873196,310.22598072546583,311.24315287468846,310.12256774588866,310.49349794579894,310.7426267163739,309.98481965498513,311.2466025637145,310.4980490112322,310.6915239012549,310.6695753842035,310.66715455904796,309.98714787948154,311.32434183698376,310.51339947371963,309.9595169597224,309.59520783297614,310.8660850829779,310.72655692040985,310.825285871079
2023-05-12,308.970001,310.61839320141945,311.36435938905214,310.48722617298085,310.4841589091352,310.649994,309.9369156368619,309.8814027659582,310.2649876007154,311.22724583929505,311.22351263332104,310.18924977620554,310.22598072546583,311.3914425933606,310.12256774588866,310.6915758524774,310.54712229205234,310.0135668680021,311.14464587675536,310.6426637712191,310.5013720171751,310.6695753842035,310.6671545590499,309.9593199707264,310.2872709946117,310.44887881545486,309.93709140725883,309.4479111414118,311.0138365761032,310.92579401713857,310.97295160184905
