Date,Truncated,"2,1,2+None","2,1,2+t","3,1,2+None","2,1,3+None","0,1,0+None","3,1,0+None","0,1,3+None","2,1,0+None","3,1,2+t","2,1,3+t","4,1,0+None","0,1,2+None","0,1,0+t","0,1,4+None","3,1,0+t","3,1,3+None","3,1,1+None","1,2,2+None","0,1,3+t","2,1,4+None","0,1,1+None","1,1,0+None","1,1,3+None","2,1,5+None","4,2,2+None","1,1,2+None","1,1,1+None","2,1,0+t","4,1,0+t","0,1,2+t"
2023-05-01,305.559998,306.13043511760276,306.2792929360905,305.91621735557754,305.917850289853,307.26001,305.2363554816003,305.31119389386254,306.61818241952454,306.05462417486456,306.05468541465706,304.9994095985218,306.6529652380622,307.40829971867214,305.0572976353767,305.3734259858873,305.78084659503503,305.0619825493639,307.7213668291049,305.4488851150939,305.9151145192298,307.2689661071335,307.26794215882177,305.1432675911516,304.4520608174159,305.6107177868409,306.183775007883,306.70807032414245,306.76481918298515,305.137638433423,306.79597563664936
2023-05-02,305.410004,306.0927889488045,306.25517901051944,305.95644773242276,305.9531804341401,305.559998,304.7474414489774,304.7389626318371,305.38734319960747,306.1109939009818,306.10699373149885,305.62392197433456,305.3254545944119,305.7082877186721,305.5354159713787,304.9043029307012,306.0731587111101,305.1509629053861,305.3536631753734,304.89252858551936,305.97099029030755,305.55360711184295,305.55444876644015,305.14942047411705,305.55361196136954,304.5104965954541,304.8976250010645,305.1522778036621,305.54447845003835,305.758684916894,305.4794509500315
2023-05-03,304.399994,306.5604038667863,306.7195664827257,306.6259734322926,306.62143327677165,305.410004,305.36197311994044,305.17023257680506,305.52630433765773,306.7902763641678,306.7861259952487,305.7704230721605,305.4797691658094,305.55829371867213,305.49923744363014,305.5268945861426,306.65833889712525,305.4197879417275,305.89919920778965,305.32976119120644,306.64068021559626,305.40946697919605,305.40951438478635,305.20259847558305,306.1920969873845,305.8386888766349,305.19795253199123,305.07524872459084,305.68584760541626,305.92227644234674,305.6388835608943
2023-05-04,305.410004,304.220898010191,304.36981614395967,304.3671291410651,304.36704317415064,304.399994,304.5282119863794,304.33710937158855,304.4069160932622,304.5282823726694,304.5288063981932,304.630587268246,304.40013435503886,304.5482837186721,304.5092543169406,304.6958430492671,304.36941978555024,304.5638846699104,304.17442244226044,304.50088669388504,304.36475486665495,304.39621895652164,304.39669709304417,304.4015078862358,304.2035179972028,304.34329325242624,304.28443282448075,304.1520695264238,304.5658187498645,304.7911134355698,304.5600962989937
2023-05-05,310.649994,304.4997750750076,304.6480319028282,304.48148018062676,304.485031728723,305.410004,305.4886931216287,305.4137611840649,305.4827823670469,304.63308914828053,304.6368146776617,305.4142569758567,305.47414775825365,305.55829371867213,305.5077582233654,305.65376207075724,304.40976106002336,305.44601404405876,305.93983698111543,305.5782508026734,304.47047898217664,305.4137951689523,305.41330090695584,305.4366689179546,304.2977972093758,306.0274260368004,305.4189531417364,305.17301653076385,305.640581670603,305.57591393263726,305.63321275255396
2023-05-08,308.649994,310.5959405875235,310.74834650883315,310.45393596657124,310.45444102979997,310.649994,310.6407551109521,310.6621183935066,310.59815325338985,310.600747373427,310.60084206965485,310.6517585535971,310.5584258158806,310.7982837186721,310.6670093145048,310.799985901701,310.4734414772773,310.6616673942734,310.5238129565339,310.82159982507085,310.45492122406733,310.6695753842035,310.66709854300404,310.6655423240964,309.9152330522795,310.4938426860307,310.5655987339912,310.29369322875164,310.7500584372228,310.8060615451713,310.7101351340071
2023-05-09,307.0,309.03879900388483,309.1935488361038,309.0363136079907,309.03373389238953,308.649994,308.22079096548606,308.23954901550286,308.2832696727377,309.1913403203803,309.1882936676965,308.1868164823486,308.3273952361337,308.7982837186721,308.2218179165142,308.38198783265267,309.08005004819796,308.19560596082323,309.03209574442366,308.4014767704282,309.0436061544343,308.64244153679334,308.6434655360128,308.2309753559431,308.7686987959878,308.70314822893425,308.25782858284805,308.4141936050012,308.43805307940886,308.3438837623943,308.48294716057165
2023-05-10,312.309998,307.23367148256347,307.3896193753838,307.24426820323754,307.2445407054694,307.0,306.7830232733747,306.74010908880996,307.13188660120295,307.4024186401153,307.4027611659241,306.81799188761823,307.12942729239535,307.1482897186721,306.7992917018998,306.9475922338753,307.20177121629365,306.78570778207717,306.8755551480347,306.9057766685024,307.24309101615336,306.9938578958131,306.99461403679595,306.75735672297424,307.8781508538142,306.62036010593204,306.98472392801256,306.8538556266324,307.29312950906615,306.97705944592633,307.2917500095309
2023-05-11,310.109985,312.2138549138136,312.36581500970556,312.185505484323,312.1849709005363,312.309998,312.55275842125565,312.55656769572704,312.44115282652166,312.34023753143936,312.33991274294885,312.7912531029726,312.3685281834773,312.4582877186721,312.7382755172968,312.7153342870218,312.2171543018044,312.66598841446097,312.8423687415053,312.71918371894014,312.1897070834243,312.32987833403973,312.3273310653575,312.648681281931,312.9624053600863,313.056719339999,312.38164659699385,312.0271724391416,312.5954866533056,312.9442101796888,312.5225817557106
2023-05-12,308.970001,309.54344887720873,309.6927671678816,309.61208979406734,309.610754446551,310.109985,309.85810141208407,309.8443869543415,309.7377805817256,309.7688632228088,309.7676034453469,309.7797862992493,309.7888891411302,310.2582747186721,309.77113733561333,310.0215800733379,309.6478265043925,309.7971128218694,309.83395256374274,310.00823160613004,309.61580746490387,310.1016834465894,310.1028036471791,309.78558085533297,308.9081684607536,309.6979617566156,309.7718712793832,309.9414034768957,309.8926874435756,309.9398942081804,309.9450892965902
