Date,Log_Truncated,"3,0,2+ct","2,1,2+None","3,1,0+None","0,1,3+None","2,1,2+t","2,1,3+None","4,1,0+None","2,1,0+None","3,1,2+None","3,1,0+t","0,1,4+None","0,1,3+t","0,1,2+None","1,0,0+None","1,0,0+c","2,1,1+None","4,0,0+ct","1,1,3+None","1,0,3+None","1,0,3+c","5,0,0+None","5,0,0+c","3,1,1+None","4,1,0+t","2,1,3+t","2,1,4+None","1,0,0+ct","4,0,1+None","4,0,1+c","2,1,0+t"
2023-05-01,5.7221461521278,5.722111072905922,5.721890163313841,5.720007267560855,5.720610356810695,5.7224601748121495,5.719189389728972,5.719167994832576,5.725122600350375,5.718988008740629,5.720546176785309,5.719441183029912,5.721149032411311,5.725599346990669,5.725737093061452,5.725737093061452,5.7228143835752086,5.719492437233376,5.720356933276459,5.719586182403814,5.719586182403814,5.717780589526224,5.717780589526224,5.720007694982344,5.719706118328176,5.7197157360763,5.720149790868974,5.726918159803756,5.718651221430982,5.718651221430982,5.725697057105462
2023-05-02,5.7216551492879795,5.723756064296384,5.723086688474013,5.717013496476066,5.717706454018436,5.724232952357633,5.71851779205324,5.719242779290327,5.724441221220553,5.718942804458711,5.718169805128606,5.719147530849949,5.718849554204618,5.724642455025755,5.723808903372031,5.723808903372031,5.720234293937116,5.716180832999053,5.718282496423717,5.7151456345251646,5.7151456345251646,5.7165547793263345,5.7165547793263345,5.717012505921369,5.720308184300184,5.719538265643825,5.719141310817405,5.726157075337132,5.716658936126088,5.716658936126088,5.7256292406711555
2023-05-03,5.718342606276624,5.728430495152128,5.727198438252657,5.717067668620323,5.716886955359549,5.728848868989482,5.722629523421256,5.720726873987965,5.72465076549788,5.72273051775272,5.718826233284462,5.719390263555655,5.718618772410149,5.724642455025755,5.72190932717237,5.72190932717237,5.71971271265966,5.715881075081054,5.7176450776127075,5.712665506291682,5.712665506291682,5.716548935883844,5.716548935883844,5.717066003238273,5.722341854652003,5.7241327703869285,5.723604749776109,5.725410849107933,5.715266253566413,5.715266253566413,5.726412651187044
2023-05-04,5.7216551492879795,5.728021303377673,5.72726946378284,5.717877580252147,5.716886955359549,5.729486695980639,5.722937315517865,5.721697257289697,5.724709155749773,5.7228143790884625,5.720197513142818,5.719865618075522,5.7191765380650095,5.724642455025755,5.720037939850822,5.720037939850822,5.719755174786898,5.716322926353432,5.717746268135669,5.71102002825133,5.71102002825133,5.71599629888712,5.71599629888712,5.717875842414364,5.723849406151285,5.7250816425663835,5.724373908348899,5.724679259724421,5.714834859419191,5.714834859419191,5.727038457368468
2023-05-05,5.738666857195362,5.723896245518591,5.724550277563475,5.718094409952749,5.716886955359549,5.72742310865149,5.720557429415027,5.721207675402886,5.7246921032225915,5.72087061355335,5.7209629992380595,5.719865618075522,5.719734303719869,5.724642455025755,5.718194323096793,5.718194323096793,5.719819621654524,5.716162505330426,5.717730204094633,5.7093959621795625,5.7093959621795625,5.713908013616699,5.713908013616699,5.718092986760919,5.723927005265686,5.72337203913546,5.721077975426171,5.723962089093649,5.713248489372904,5.713248489372904,5.727591396336926
2023-05-08,5.73220792940041,5.737796806742303,5.738334546968337,5.738712361870104,5.7386940975850065,5.738912179165515,5.739092663622459,5.738746489022689,5.738515719808186,5.739106162294368,5.739332465251584,5.738728619593759,5.7393156609948495,5.738530452810839,5.736546795474024,5.736546795474024,5.738521802140815,5.737797751679813,5.738734329841254,5.7367519773629665,5.7367519773629665,5.736853697957977,5.736853697957977,5.7387123686740535,5.739344643759705,5.739609760451983,5.738389610538823,5.737744785467384,5.737193392447669,5.737193392447669,5.739108759374884
2023-05-09,5.726847747587197,5.738328165259537,5.737780144292026,5.737043620231247,5.73716319684523,5.738871766285435,5.738439224781153,5.737003544278169,5.737095313953618,5.738021665733482,5.738287899534455,5.737107382537739,5.738413662631961,5.737287030823309,5.734458194539291,5.734458194539291,5.736888125972293,5.73548175662465,5.737187077699045,5.733236139143799,5.733236139143799,5.7332023342384195,5.7332023342384195,5.737043681744636,5.738205473171121,5.73949110642335,5.738865715706,5.7368399707304,5.733841895456633,5.733841895456633,5.738290165055302
2023-05-10,5.74399627786561,5.738736666134217,5.737884261667487,5.735796170884907,5.735915911747175,5.739521560525221,5.736884354658298,5.735895650298717,5.737097467281842,5.7365679594442245,5.737618582949525,5.735977594254339,5.737756644567713,5.737287030823309,5.73240058752688,5.73240058752688,5.736284550410411,5.733686417587989,5.7359900676289035,5.730064267255011,5.730064267255011,5.730360187903883,5.730360187903883,5.735796162898018,5.737655686805799,5.738559767420357,5.73779778252593,5.7359521558505975,5.7313038486708425,5.7313038486708425,5.738862904151524
2023-05-11,5.736927024878569,5.737989788849365,5.738274864038663,5.735926890824209,5.735915911747175,5.740504375590183,5.737291851290249,5.736764700844659,5.7372159881353415,5.737340312088707,5.738297513896266,5.736641181392464,5.738314410222573,5.737287030823309,5.73037351450057,5.73037351450057,5.736208204916779,5.733310177727578,5.7361800935159595,5.7281923858753085,5.7281923858753085,5.729639129637709,5.729639129637709,5.735926535447817,5.739040185243011,5.739519929446539,5.737166487246073,5.735081087525521,5.730446697486132,5.730446697486132,5.739550790771611
2023-05-12,5.73324418804238,5.737062565569769,5.738287960601328,5.736153464149175,5.735915911747175,5.741106555918626,5.73818162899587,5.736989444607437,5.737216680957249,5.738036832165773,5.739075192647513,5.736641181392464,5.738872175877432,5.737287030823309,5.728376522349393,5.728376522349393,5.736235388270886,5.73299336541874,5.736149926820915,5.72634486256318,5.72634486256318,5.728119933885305,5.728119933885305,5.736153109014615,5.739824230396343,5.740922626065432,5.737938945951678,5.734226516226996,5.729013244572986,5.729013244572986,5.740121908142526
